Designator,Mid X,Mid Y,Rotation,Layer
C1,195.0,-103.0,270.0,top
C10,219.05,-105.0,0.0,top
C11,209.0,-121.5,90.0,top
C12,109.5,-107.5,180.0,top
C13,102.75,-110.0,0.0,top
C2,191.5,-97.5,270.0,top
C3,209.5,-111.5,270.0,top
C4,231.0,-120.5,90.0,top
C5,214.0,-120.5,90.0,top
C6,218.5,-115.5,90.0,top
C7,128.0,-107.0,90.0,top
C8,119.3,-105.25,0.0,top
C9,109.75,-113.0,90.0,top
D1,185.5,-108.5,180.0,top
D2,177.0,-108.5,180.0,top
D3,194.5,-110.0,90.0,top
D4,225.0,-107.5,0.0,top
F1,182.0,-105.0,180.0,top
F2,173.5,-105.0,180.0,top
J1,227.5,-95.15,0.0,top
J2,102.0,-95.0,0.0,top
J3,113.0,-95.0,0.0,top
J4,124.0,-95.0,0.0,top
J5,175.0,-95.15,0.0,top
J6,183.5,-95.15,0.0,top
J7,89.0,-116.5,90.0,top
L1,201.0,-112.0,180.0,top
L2,233.5,-111.0,90.0,top
R1,220.5,-110.5,90.0,top
R2,217.5,-110.5,90.0,top
R3,120.5,-120.0,90.0,top
R4,122.5,-120.0,90.0,top
R5,227.5,-111.0,0.0,top
R6,228.5,-115.0,90.0,top
U1,202.5,-97.625,90.0,top
U2,223.5,-115.0,270.0,top
U3,125.3,-120.3125,180.0,top
U4,124.0,-107.0,0.0,top
U5,115.0,-111.58,90.0,top
